mfId,name,total_rank,final_score,avg_data_days,avg_cagr_3y,score_Claude,score_GPT,score_Gemini,score_Grok
M_AXMM,Axis Flexi Cap Fund,95,0.43,3122.0,12.9,24.97,43.4,46.3,39.65
M_PRLF,Sundaram Focused Fund,96,0.421,4900.0,11.12,28.71,37.77,45.0,41.06
M_MIAU,Mirae Asset Focused Fund,97,0.405,2576.0,7.53,28.68,34.45,47.96,39.07
M_JMCR,JM Focused Fund,98,0.388,4900.0,14.93,35.31,43.77,24.74,37.07
M_INUI,Groww Value Fund,99,0.355,3920.0,15.47,28.46,53.37,19.09,30.1
M_OLDD,Old Bridge Focused Fund,100,0.35,862.0,N/A (insufficient history),51.84,34.8,42.33,N/A (not ranked)
M_MOI2,Motilal Oswal Focused Fund,101,0.345,4768.0,11.27,22.61,36.63,31.65,38.24
M_TATUM,Tata Multicap Fund,102,0.341,1213.0,13.76,28.46,29.67,29.86,40.82
M_IDB0,LIC MF Focused Fund,103,0.311,3122.0,9.63,23.85,29.62,34.52,35.27
M_UTIEY,UTI Flexi Cap Fund,104,0.306,4900.0,7.51,22.72,31.94,32.48,34.31
M_BNP5,Baroda BNP Paribas Focused Fund,105,0.291,3164.0,11.36,21.54,30.74,29.65,34.63
M_AXFO,Axis Focused Fund,106,0.275,4900.0,8.34,20.26,27.96,29.17,34.75
M_LILU,LIC MF Flexi Cap Fund,107,0.26,4900.0,11.74,22.66,31.69,22.26,31.31
M_SUVY,Sundaram Value Fund,108,0.241,4900.0,9.24,23.71,31.85,11.96,32.54
M_SHRP,Shriram Flexi Cap Fund,109,0.226,2808.0,9.77,15.6,25.15,27.39,31.58
M_BANV,Baroda BNP Paribas Value Fund,110,0.205,1092.0,11.9,15.62,21.97,17.01,35.85
M_TRMM,TRUSTMF Flexi Cap Fund,111,0.182,771.0,N/A (insufficient history),22.01,N/A (not ranked),39.69,N/A (not ranked)
M_DSPUP,DSP Multicap Fund,112,0.153,850.0,N/A (insufficient history),26.92,20.48,21.7,N/A (not ranked)
M_NJFL,NJ Flexi Cap Fund,113,0.15,1002.0,8.35,9.17,22.88,13.6,30.12
M_TAHU,Taurus Flexi Cap Fund,114,0.148,4900.0,11.85,14.6,28.12,7.04,25.91
M_MAMG,Mahindra Manulife Value Fund,115,0.138,456.0,N/A (insufficient history),45.21,N/A (not ranked),0.0,N/A (not ranked)
M_GRMT,Groww Multicap Fund,116,0.117,533.0,N/A (insufficient history),38.46,N/A (not ranked),0.0,N/A (not ranked)
M_BAJFI,Bajaj Finserv Multi Cap Fund,117,0.095,456.0,N/A (insufficient history),31.15,N/A (not ranked),0.0,N/A (not ranked)
M_MOSN,Motilal Oswal Multi Cap Fund,118,0.093,712.0,N/A (insufficient history),30.37,N/A (not ranked),0.0,N/A (not ranked)
M_FRANU,Franklin India Multi Cap Fund,119,0.086,673.0,N/A (insufficient history),28.28,N/A (not ranked),0.0,N/A (not ranked)
M_PGUG,PGIM India Multi Cap Fund,120,0.08,631.0,N/A (insufficient history),26.13,N/A (not ranked),0.0,N/A (not ranked)
M_SAMC,Samco Flexi Cap Fund,121,0.061,1582.0,1.16,5.32,18.59,15.57,17.97
M_SACO,Samco Multi Cap Fund,122,0.024,575.0,N/A (insufficient history),7.95,N/A (not ranked),0.0,N/A (not ranked)
M_UTMUL,UTI Multi Cap Fund,123,0.011,379.0,N/A (insufficient history),3.76,N/A (not ranked),0.0,N/A (not ranked)
M_THEA,The Wealth Company Flexi Cap Fund,124,0.0,232.0,N/A (insufficient history),0.0,N/A (not ranked),0.0,N/A (not ranked)
M_TRMI,TRUSTMF Multi Cap Fund,125,0.0,316.0,N/A (insufficient history),0.0,N/A (not ranked),0.0,N/A (not ranked)
M_UNFL,Unifi Flexi Cap Fund,126,0.0,358.0,N/A (insufficient history),0.0,N/A (not ranked),0.0,N/A (not ranked)
M_CAPI,Capitalmind Flexi Cap Fund,127,0.0,302.0,N/A (insufficient history),0.0,N/A (not ranked),0.0,N/A (not ranked)
M_OLDX,Old Bridge Flexi Cap Fund,128,0.0,92.0,N/A (insufficient history),0.0,N/A (not ranked),0.0,N/A (not ranked)
M_JIOF,JioBlackRock Flexi Cap Fund,129,0.0,232.0,N/A (insufficient history),0.0,N/A (not ranked),0.0,N/A (not ranked)
M_ABAU,Abakkus Flexi Cap Fund,130,0.0,155.0,N/A (insufficient history),0.0,N/A (not ranked),0.0,N/A (not ranked)
